Line 3 x;Line 3 y
3,633090158986E2;-4,109307493695E-3
3,733864962769E2;-2,174760108417E-3
3,819360032200E2;3,720085808609E-3
3,917065808010E2;1,158673135140E-2
4,017790299859E2;3,329065739500E-2
4,075769772590E2;5,105869154717E-2
4,097112094989E2;6,488826468787E-2
4,124496880660E2;1,044154609644E-1
4,151856510364E2;1,538273465700E-1
4,173113302475E2;2,012648634299E-1
4,185228416180E2;2,407984825064E-1
4,203401086738E2;3,000989111213E-1
4,221498289394E2;3,890534077236E-1
4,245567518615E2;5,313826575834E-1
4,266527470316E2;6,954595085273E-1
4,281540551419E2;7,962769168847E-1
4,293580197223E2;8,654646039487E-1
4,305644998994E2;9,247676016836E-1
4,311677399879E2;9,544191005511E-1
4,317729925538E2;9,761628479552E-1
4,329905413564E2;9,919732126418E-1
4,342106057557E2;9,978988879992E-1
4,360469913463E2;9,820756777125E-1
4,369702153351E2;9,543946939108E-1
4,385127792312E2;8,931031972699E-1
4,403707989535E2;7,922716587523E-1
4,413121352385E2;6,934209117807E-1
4,422524652848E2;5,985240405407E-1
4,437970416583E2;5,293247924365E-1
4,459498893137E2;4,700076645414E-1
4,474869188972E2;4,304624844247E-1
4,499361038438E2;4,067289535546E-1
4,526982290199E2;3,533400701370E-1
4,557652445160E2;3,019268400252E-1
4,588307506541E2;2,564444235109E-1
4,612804387201E2;2,307339547749E-1
4,628089152747E2;2,247967183773E-1
4,655559468706E2;2,307159709347E-1
4,701323203864E2;2,484891433269E-1
4,731822298249E2;2,642918006534E-1
4,753169651841E2;2,761444359283E-1
4,771407727913E2;3,097446722873E-1
4,817101026363E2;3,551949748012E-1
4,856696518414E2;3,966939707035E-1
4,896322197625E2;4,263313394107E-1
4,942050714429E2;4,579430768638E-1
4,990838196820E2;4,875765918910E-1
5,045753672771E2;5,092997863349E-1
5,100684242302E2;5,250921671812E-1
5,146473133427E2;5,329806502443E-1
5,210545381364E2;5,566769288739E-1
5,271558663715E2;5,823514299294E-1
5,356978265245E2;6,179003438339E-1
5,439353994768E2;6,494966665668E-1
5,518685852284E2;6,771403981280E-1
5,598027772188E2;7,008302539575E-1
5,686531495271E2;7,245162561070E-1
5,784197021534E2;7,481984045765E-1
5,875810022137E2;7,501368056418E-1
5,976620044275E2;7,382327879662E-1
6,059131616019E2;7,164517883216E-1
6,123314550211E2;6,966554339030E-1
6,172212718857E2;6,827963158819E-1
6,199743409137E2;6,649923140492E-1
6,239514992956E2;6,372984846474E-1
6,282330448782E2;6,135572464171E-1
6,315953914268E2;6,016814890620E-1
6,358744214128E2;5,878249401609E-1
6,404558261220E2;5,858287338948E-1
6,441160193198E2;6,036057599671E-1
6,480795934796E2;6,292892529427E-1
6,511214530087E2;6,767229161225E-1
6,553828738177E2;7,320591925256E-1
6,578149527068E2;7,755415490937E-1
6,590325015094E2;7,913519137803E-1
6,602510565506E2;8,032084027353E-1
6,620839203059E2;8,012237575093E-1
6,639223183739E2;7,774927957592E-1
6,654593479573E2;7,379476156425E-1
6,670009056148E2;6,806099947333E-1
6,685490038237E2;5,975721815683E-1
6,700965989133E2;5,165113062691E-1
6,710283759308E2;4,552223787482E-1
6,722665526263E2;3,899782909357E-1
6,744183940431E2;3,346150387723E-1
6,774854095391E2;2,832018086605E-1
6,820798953512E2;2,298052178828E-1
6,881988327631E2;1,862868936341E-1
6,973717045683E2;1,427557237853E-1
7,086803179714E2;1,071233134797E-1
7,187643389012E2;8,335766860921E-2
7,319017911049E2;6,155611600433E-2
7,416773998793E2;4,965338288880E-2
7,545064399276E2;3,971474203894E-2
7,645859327833E2;3,374153796089E-2
7,722222781244E2;2,777861036297E-2
7,810807003421E2;1,983360665916E-2
7,887170456832E2;1,387067906124E-2
7,957426041457E2;7,910320583361E-3
8,027681626082E2;1,949962105479E-3
8,064343932381E2;-3,996266212218E-3
