"FILE:TRA"
"REM: TRAYA-CO          (QNTM)"
"LIMS: 300- 900NM"
"INT:  2NM"
"DATE:10/11 18:57"
"MIN:  300NM  4.338E-04"
"MAX:  592NM  2.241E+00"
 300  4.338E-04
 302  7.325E-04
 304  7.081E-04
 306  8.817E-04
 308  9.266E-04
 310  1.200E-03
 312  1.662E-03
 314  1.926E-03
 316  1.921E-03
 318  2.043E-03
 320  3.118E-03
 322  6.202E-03
 324  1.076E-02
 326  1.461E-02
 328  1.535E-02
 330  1.371E-02
 332  1.168E-02
 334  1.058E-02
 336  1.041E-02
 338  1.070E-02
 340  1.156E-02
 342  1.281E-02
 344  1.472E-02
 346  1.988E-02
 348  4.233E-02
 350  9.676E-02
 352  1.510E-01
 354  1.620E-01
 356  1.276E-01
 358  8.553E-02
 360  6.592E-02
 362  7.321E-02
 364  8.835E-02
 366  9.425E-02
 368  8.187E-02
 370  6.629E-02
 372  6.665E-02
 374  9.856E-02
 376  1.525E-01
 378  1.927E-01
 380  1.839E-01
 382  1.351E-01
 384  8.503E-02
 386  6.049E-02
 388  5.447E-02
 390  5.451E-02
 392  5.673E-02
 394  5.983E-02
 396  6.253E-02
 398  6.448E-02
 400  6.838E-02
 402  7.799E-02
 404  9.152E-02
 406  1.167E-01
 408  1.791E-01
 410  2.470E-01
 412  2.632E-01
 414  2.116E-01
 416  1.305E-01
 418  8.431E-02
 420  7.179E-02
 422  7.213E-02
 424  7.513E-02
 426  7.909E-02
 428  8.355E-02
 430  9.029E-02
 432  1.095E-01
 434  1.438E-01
 436  1.754E-01
 438  1.777E-01
 440  1.612E-01
 442  1.442E-01
 444  1.411E-01
 446  1.630E-01
 448  2.855E-01
 450  4.928E-01
 452  6.436E-01
 454  5.878E-01
 456  3.914E-01
 458  1.947E-01
 460  1.099E-01
 462  8.551E-02
 464  7.984E-02
 466  7.966E-02
 468  7.976E-02
 470  7.698E-02
 472  7.282E-02
 474  6.915E-02
 476  6.645E-02
 478  6.438E-02
 480  6.298E-02
 482  6.272E-02
 484  6.335E-02
 486  6.454E-02
 488  6.609E-02
 490  6.806E-02
 492  7.159E-02
 494  8.171E-02
 496  9.868E-02
 498  1.123E-01
 500  1.102E-01
 502  9.563E-02
 504  8.100E-02
 506  7.539E-02
 508  7.573E-02
 510  7.895E-02
 512  8.426E-02
 514  9.069E-02
 516  9.705E-02
 518  1.024E-01
 520  1.077E-01
 522  1.096E-01
 524  1.076E-01
 526  1.049E-01
 528  1.251E-01
 530  2.469E-01
 532  6.261E-01
 534  1.356E+00
 536  1.958E+00
 538  1.983E+00
 540  1.472E+00
 542  7.730E-01
 544  4.307E-01
 546  3.298E-01
 548  2.736E-01
 550  2.013E-01
 552  1.290E-01
 554  1.061E-01
 556  9.851E-02
 558  9.342E-02
 560  9.045E-02
 562  9.836E-02
 564  1.407E-01
 566  2.339E-01
 568  3.219E-01
 570  3.300E-01
 572  2.580E-01
 574  1.881E-01
 576  1.768E-01
 578  1.917E-01
 580  1.954E-01
 582  2.186E-01
 584  3.830E-01
 586  8.144E-01
 588  1.567E+00
 590  2.160E+00
 592  2.241E+00
 594  1.819E+00
 596  1.305E+00
 598  8.880E-01
 600  6.687E-01
 602  5.364E-01
 604  4.474E-01
 606  3.974E-01
 608  3.857E-01
 610  3.842E-01
 612  3.630E-01
 614  3.258E-01
 616  2.868E-01
 618  2.520E-01
 620  2.174E-01
 622  1.892E-01
 624  1.751E-01
 626  1.672E-01
 628  1.608E-01
 630  1.553E-01
 632  1.505E-01
 634  1.459E-01
 636  1.422E-01
 638  1.390E-01
 640  1.366E-01
 642  1.346E-01
 644  1.328E-01
 646  1.311E-01
 648  1.301E-01
 650  1.356E-01
 652  1.600E-01
 654  1.928E-01
 656  2.069E-01
 658  1.879E-01
 660  1.494E-01
 662  1.256E-01
 664  1.317E-01
 666  2.069E-01
 668  4.145E-01
 670  6.455E-01
 672  7.019E-01
 674  5.258E-01
 676  2.951E-01
 678  1.585E-01
 680  1.264E-01
 682  1.196E-01
 684  1.176E-01
 686  1.141E-01
 688  1.077E-01
 690  1.013E-01
 692  9.592E-02
 694  9.136E-02
 696  8.779E-02
 698  8.600E-02
 700  8.488E-02
 702  8.386E-02
 704  8.284E-02
 706  8.222E-02
 708  8.188E-02
 710  8.144E-02
 712  8.100E-02
 714  8.061E-02
 716  8.036E-02
 718  8.034E-02
 720  8.024E-02
 722  7.997E-02
 724  7.976E-02
 726  7.933E-02
 728  7.887E-02
