spct.idx,Q_UVB.ISO,Q_UVA2.CIE,Q_UVA1.CIE,Q_Blue.Sellaro,Q_Green.Sellaro,Q_Red.Smith20,Q_FarRed.Smith20,Q_PAR,]UVC:PAR[q:q],UVB:PAR[q:q],UVA:PAR[q:q],blue:green[q:q],red:far-red[q:q],when.measured
GN36.42mm.manual.spct,0.031,0.0153,0.022,1.97,2.13,0.608,0.615,8.45,0.00281,0.00366,0.00441,0.926,0.988,2023-12-02T19:37:09.239Z
GN36.42mm.manual.lfd.spct,0.00595,0.00327,0.00411,2.03,2.15,0.606,0.632,8.53,-9.24e-6,6.98e-4,8.65e-4,0.944,0.96,2023-12-02T19:39:38.193Z
GN20.12mm.manual.lfd.spct,0.00135,0.00106,-3.36e-4,0.852,0.956,0.271,0.272,3.78,5.55e-4,3.58e-4,1.9e-4,0.891,0.997,2023-12-02T19:41:34.420Z
GN24.17mm.manual.lfd.spct,-3.54e-4,-8.28e-4,-3.94e-4,1.18,1.3,0.368,0.37,5.18,-9.58e-4,-6.83e-5,-2.36e-4,0.905,0.995,2023-12-02T19:44:30.591Z
GN36.side.lfd.spct,0.00291,0.00124,0.0032,1.75,1.92,0.539,0.541,7.61,-6.78e-6,3.82e-4,5.84e-4,0.914,0.996,2023-12-02T19:47:40.288Z
GN09.42mm.spct,-0.00359,5.43e-4,-6.32e-4,0.211,0.225,0.0595,0.0564,0.877,0.0019,-0.00409,-1.02e-4,0.937,1.06,2023-12-02T19:50:04.189Z
GN09.42mm.x2.spct,0.0032,1.4e-4,-1.65e-4,0.601,0.644,0.171,0.162,2.51,0.00138,0.00128,-1.01e-5,0.933,1.06,2023-12-02T19:51:17.320Z
GN09.42mm.x2.lfd.spct,-0.00845,-0.00178,-0.0068,0.618,0.663,0.175,0.166,2.58,-0.00249,-0.00328,-0.00333,0.933,1.06,2023-12-02T19:52:37.350Z
GN18.42mm.x1.lfd.spct,0.00109,-1.24e-5,-1.74e-4,0.693,0.748,0.203,0.195,2.94,0.00127,3.7e-4,-6.34e-5,0.927,1.04,2023-12-02T19:54:19.161Z
GN25.42mm.x1.spct,-0.00156,1.72e-4,-0.00147,1.48,1.61,0.446,0.438,6.36,-7.95e-4,-2.46e-4,-2.05e-4,0.92,1.02,2023-12-02T19:56:17.983Z
GN25.42mm.FireUVIR.spct,0.0146,0.00893,0.0154,1.63,1.62,0.595,0.144,7.12,0.00368,0.00205,0.00342,1.01,4.12,2023-12-02T20:00:10.486Z
GN24.42mm.FireUVIR.ld.spct,0.00406,0.00349,0.00424,1.66,1.65,0.601,0.147,7.22,9.09e-4,5.63e-4,0.00107,1.01,4.08,2023-12-02T20:02:27.164Z
GN25.42mm.spct,0.00386,0.0024,1.04e-4,1.52,1.65,0.459,0.45,6.53,-0.00131,5.91e-4,3.83e-4,0.919,1.02,2023-12-02T20:03:42.038Z
GN3.2.42mm.spct,0.00657,0.00313,0.00305,0.126,0.136,0.0367,0.0361,0.534,0.00689,0.0123,0.0116,0.931,1.02,2023-12-02T20:06:19.445Z
GN3.2.42mm.lfd.spct,0.00233,0.00148,0.00374,0.114,0.121,0.0321,0.0318,0.476,0.00439,0.0049,0.011,0.94,1.01,2023-12-02T20:07:24.384Z
GN3.2.42mm.x2.lfd.spct,-0.00145,-1.37e-4,-0.0014,0.266,0.289,0.0774,0.0764,1.13,5.57e-4,-0.00128,-0.00136,0.92,1.01,2023-12-02T20:09:24.160Z
