"FILE:OS25"
"REM: OSRAM 36W/25 WH   (QNTM)"
"LIMS: 300-1100NM"
"INT:  2NM"
"DATE:06/09 09:00"
"MIN:  328NM  1.316E-05"
"MAX:  546NM  7.758E-01"
 300  1.329E-04
 302  9.156E-05
 304  1.593E-04
 306  3.429E-05
 308  1.330E-04
 310  1.131E-04
 312  1.101E-04
 314  1.532E-04
 316  1.494E-04
 318  7.296E-05
 320  1.141E-04
 322  1.256E-04
 324  1.778E-04
 326  1.609E-04
 328  1.316E-05
 330  1.163E-04
 332  6.347E-05
 334  9.987E-05
 336  1.106E-04
 338  1.331E-04
 340  1.192E-04
 342  1.175E-04
 344  6.953E-05
 346  5.719E-05
 348  1.016E-04
 350  3.101E-04
 352  3.103E-04
 354  2.902E-04
 356  3.222E-04
 358  2.850E-04
 360  2.874E-04
 362  3.189E-04
 364  3.114E-04
 366  2.771E-04
 368  2.871E-04
 370  2.949E-04
 372  2.932E-04
 374  2.825E-04
 376  2.794E-04
 378  2.545E-04
 380  3.012E-04
 382  3.317E-04
 384  4.311E-04
 386  6.260E-04
 388  1.209E-03
 390  2.279E-03
 392  4.088E-03
 394  6.797E-03
 396  1.065E-02
 398  2.023E-02
 400  5.867E-02
 402  1.364E-01
 404  2.194E-01
 406  2.268E-01
 408  1.602E-01
 410  8.822E-02
 412  5.881E-02
 414  5.473E-02
 416  5.730E-02
 418  6.078E-02
 420  6.418E-02
 422  6.770E-02
 424  7.103E-02
 426  7.466E-02
 428  8.054E-02
 430  1.104E-01
 432  2.580E-01
 434  4.893E-01
 436  6.450E-01
 438  5.428E-01
 440  3.281E-01
 442  1.425E-01
 444  1.048E-01
 446  1.047E-01
 448  1.067E-01
 450  1.098E-01
 452  1.117E-01
 454  1.146E-01
 456  1.167E-01
 458  1.197E-01
 460  1.216E-01
 462  1.237E-01
 464  1.256E-01
 466  1.279E-01
 468  1.294E-01
 470  1.310E-01
 472  1.326E-01
 474  1.340E-01
 476  1.351E-01
 478  1.360E-01
 480  1.371E-01
 482  1.383E-01
 484  1.395E-01
 486  1.407E-01
 488  1.422E-01
 490  1.437E-01
 492  1.443E-01
 494  1.437E-01
 496  1.432E-01
 498  1.432E-01
 500  1.435E-01
 502  1.440E-01
 504  1.448E-01
 506  1.457E-01
 508  1.467E-01
 510  1.482E-01
 512  1.501E-01
 514  1.522E-01
 516  1.545E-01
 518  1.572E-01
 520  1.603E-01
 522  1.636E-01
 524  1.673E-01
 526  1.716E-01
 528  1.765E-01
 530  1.820E-01
 532  1.880E-01
 534  1.949E-01
 536  2.028E-01
 538  2.142E-01
 540  2.500E-01
 542  3.777E-01
 544  6.055E-01
 546  7.758E-01
 548  7.198E-01
 550  5.195E-01
 552  3.501E-01
 554  3.103E-01
 556  3.167E-01
 558  3.293E-01
 560  3.434E-01
 562  3.556E-01
 564  3.675E-01
 566  3.791E-01
 568  3.901E-01
 570  4.019E-01
 572  4.236E-01
 574  4.713E-01
 576  5.354E-01
 578  5.715E-01
 580  5.507E-01
 582  4.968E-01
 584  4.537E-01
 586  4.372E-01
 588  4.337E-01
 590  4.304E-01
 592  4.267E-01
 594  4.220E-01
 596  4.166E-01
 598  4.098E-01
 600  4.022E-01
 602  3.942E-01
 604  3.855E-01
 606  3.772E-01
 608  3.697E-01
 610  3.631E-01
 612  3.550E-01
 614  3.441E-01
 616  3.323E-01
 618  3.215E-01
 620  3.120E-01
 622  3.026E-01
 624  2.928E-01
 626  2.830E-01
 628  2.735E-01
 630  2.640E-01
 632  2.546E-01
 634  2.456E-01
 636  2.366E-01
 638  2.279E-01
 640  2.193E-01
 642  2.115E-01
 644  2.037E-01
 646  1.963E-01
 648  1.891E-01
 650  1.822E-01
 652  1.754E-01
 654  1.690E-01
 656  1.626E-01
 658  1.562E-01
 660  1.503E-01
 662  1.443E-01
 664  1.380E-01
 666  1.324E-01
 668  1.266E-01
 670  1.215E-01
 672  1.165E-01
 674  1.118E-01
 676  1.071E-01
 678  1.035E-01
 680  9.982E-02
 682  9.646E-02
 684  9.360E-02
 686  9.099E-02
 688  8.962E-02
 690  8.774E-02
 692  8.510E-02
 694  8.092E-02
 696  7.671E-02
 698  7.354E-02
 700  7.080E-02
 702  6.824E-02
 704  6.627E-02
 706  6.448E-02
 708  6.256E-02
 710  6.017E-02
 712  5.754E-02
 714  5.496E-02
 716  5.271E-02
 718  5.067E-02
 720  4.874E-02
 722  4.697E-02
 724  4.520E-02
 726  4.358E-02
 728  4.193E-02
 730  4.042E-02
 732  3.888E-02
 734  3.748E-02
 736  3.607E-02
 738  3.473E-02
 740  3.342E-02
 742  3.216E-02
 744  3.098E-02
 746  2.984E-02
 748  2.879E-02
 750  2.783E-02
 752  2.691E-02
 754  2.627E-02
 756  2.714E-02
 758  2.957E-02
 760  3.095E-02
 762  2.907E-02
 764  2.512E-02
 766  2.211E-02
 768  2.122E-02
 770  2.076E-02
 772  1.998E-02
 774  1.880E-02
 776  1.752E-02
 778  1.663E-02
 780  1.606E-02
 782  1.572E-02
 784  1.562E-02
 786  1.529E-02
 788  1.461E-02
 790  1.376E-02
 792  1.311E-02
 794  1.266E-02
 796  1.225E-02
 798  1.183E-02
 800  1.151E-02
 802  1.135E-02
 804  1.154E-02
 806  1.312E-02
 808  1.864E-02
 810  2.520E-02
 812  2.638E-02
 814  2.099E-02
 816  1.396E-02
 818  1.108E-02
 820  1.063E-02
 822  1.012E-02
 824  1.034E-02
 826  1.197E-02
 828  1.382E-02
 830  1.373E-02
 832  1.152E-02
 834  8.841E-03
 836  7.025E-03
 838  6.544E-03
 840  6.475E-03
 842  6.435E-03
 844  6.202E-03
 846  6.015E-03
 848  6.117E-03
 850  6.377E-03
 852  6.381E-03
 854  5.900E-03
 856  5.277E-03
 858  4.914E-03
 860  4.769E-03
 862  4.713E-03
 864  4.593E-03
 866  4.450E-03
 868  4.343E-03
 870  4.249E-03
 872  4.458E-03
 874  6.174E-03
 876  9.249E-03
 878  1.084E-02
 880  9.424E-03
 882  6.365E-03
 884  4.089E-03
 886  3.663E-03
 888  4.192E-03
 890  6.598E-03
 892  9.389E-03
 894  9.981E-03
 896  7.878E-03
 898  4.784E-03
 900  3.232E-03
 902  3.017E-03
 904  2.907E-03
 906  2.902E-03
 908  2.849E-03
