"FILE:SANY"
"REM: SANYO 4 FULL LI   (QNTM)"
"LIMS: 300- 800NM"
"INT:  2NM"
"DATE:05/07 12:34"
"MIN:  312NM  3.144E-05"
"MAX:  548NM  1.335E+00"
 300  7.592E-05
 302  1.099E-04
 304  7.081E-05
 306  1.029E-04
 308  3.326E-05
 310  1.939E-04
 312  3.144E-05
 314  9.191E-05
 316  1.195E-04
 318  8.755E-05
 320  1.141E-04
 322  5.584E-05
 324  1.641E-04
 326  1.073E-04
 328  1.316E-04
 330  1.292E-04
 332  2.285E-04
 334  3.246E-04
 336  4.177E-04
 338  3.387E-04
 340  2.622E-04
 342  2.350E-04
 344  2.086E-04
 346  2.974E-04
 348  2.936E-04
 350  8.860E-04
 352  8.775E-04
 354  1.036E-03
 356  1.128E-03
 358  1.513E-03
 360  3.449E-03
 362  1.107E-02
 364  2.139E-02
 366  2.655E-02
 368  2.071E-02
 370  1.125E-02
 372  5.098E-03
 374  4.175E-03
 376  4.516E-03
 378  5.061E-03
 380  5.617E-03
 382  6.350E-03
 384  7.237E-03
 386  8.359E-03
 388  9.663E-03
 390  1.102E-02
 392  1.265E-02
 394  1.450E-02
 396  1.677E-02
 398  2.083E-02
 400  3.698E-02
 402  8.392E-02
 404  1.442E-01
 406  1.707E-01
 408  1.397E-01
 410  9.386E-02
 412  6.660E-02
 414  6.480E-02
 416  7.022E-02
 418  7.697E-02
 420  8.538E-02
 422  9.332E-02
 424  1.018E-01
 426  1.105E-01
 428  1.176E-01
 430  1.440E-01
 432  2.837E-01
 434  5.982E-01
 436  9.119E-01
 438  9.265E-01
 440  6.269E-01
 442  3.250E-01
 444  1.917E-01
 446  1.792E-01
 448  1.866E-01
 450  1.900E-01
 452  1.970E-01
 454  2.031E-01
 456  2.089E-01
 458  2.147E-01
 460  2.188E-01
 462  2.240E-01
 464  2.292E-01
 466  2.341E-01
 468  2.392E-01
 470  2.439E-01
 472  2.487E-01
 474  2.528E-01
 476  2.574E-01
 478  2.608E-01
 480  2.645E-01
 482  2.683E-01
 484  2.711E-01
 486  2.741E-01
 488  2.768E-01
 490  2.807E-01
 492  2.836E-01
 494  2.847E-01
 496  2.846E-01
 498  2.840E-01
 500  2.843E-01
 502  2.846E-01
 504  2.852E-01
 506  2.855E-01
 508  2.879E-01
 510  2.903E-01
 512  2.946E-01
 514  2.995E-01
 516  3.056E-01
 518  3.127E-01
 520  3.207E-01
 522  3.303E-01
 524  3.423E-01
 526  3.559E-01
 528  3.714E-01
 530  3.880E-01
 532  4.089E-01
 534  4.351E-01
 536  4.646E-01
 538  4.948E-01
 540  5.389E-01
 542  6.431E-01
 544  9.133E-01
 546  1.228E+00
 548  1.335E+00
 550  1.169E+00
 552  9.127E-01
 554  8.107E-01
 556  8.231E-01
 558  8.626E-01
 560  8.733E-01
 562  9.196E-01
 564  9.556E-01
 566  9.880E-01
 568  1.019E+00
 570  1.045E+00
 572  1.075E+00
 574  1.128E+00
 576  1.213E+00
 578  1.295E+00
 580  1.311E+00
 582  1.253E+00
 584  1.173E+00
 586  1.122E+00
 588  1.101E+00
 590  1.085E+00
 592  1.066E+00
 594  1.049E+00
 596  1.028E+00
 598  1.003E+00
 600  9.767E-01
 602  9.463E-01
 604  9.170E-01
 606  8.875E-01
 608  8.564E-01
 610  8.240E-01
 612  7.913E-01
 614  7.577E-01
 616  7.265E-01
 618  6.927E-01
 620  6.614E-01
 622  6.308E-01
 624  5.992E-01
 626  5.694E-01
 628  5.418E-01
 630  5.133E-01
 632  4.864E-01
 634  4.603E-01
 636  4.342E-01
 638  4.099E-01
 640  3.875E-01
 642  3.666E-01
 644  3.459E-01
 646  3.259E-01
 648  3.072E-01
 650  2.890E-01
 652  2.721E-01
 654  2.561E-01
 656  2.409E-01
 658  2.269E-01
 660  2.131E-01
 662  2.002E-01
 664  1.879E-01
 666  1.771E-01
 668  1.672E-01
 670  1.563E-01
 672  1.476E-01
 674  1.386E-01
 676  1.304E-01
 678  1.225E-01
 680  1.149E-01
 682  1.086E-01
 684  1.023E-01
 686  9.676E-02
 688  9.323E-02
 690  9.050E-02
 692  8.703E-02
 694  8.167E-02
 696  7.542E-02
 698  6.981E-02
 700  6.575E-02
 702  6.232E-02
 704  5.925E-02
 706  5.681E-02
 708  5.462E-02
 710  5.230E-02
 712  4.936E-02
 714  4.641E-02
 716  4.390E-02
 718  4.188E-02
 720  3.997E-02
 722  3.824E-02
 724  3.666E-02
 726  3.516E-02
 728  3.382E-02
 730  3.249E-02
 732  3.117E-02
 734  2.999E-02
 736  2.895E-02
 738  2.798E-02
 740  2.697E-02
 742  2.589E-02
 744  2.488E-02
 746  2.410E-02
 748  2.361E-02
 750  2.334E-02
 752  2.296E-02
 754  2.274E-02
 756  2.469E-02
 758  3.266E-02
 760  4.342E-02
 762  4.654E-02
 764  3.852E-02
 766  2.714E-02
 768  2.180E-02
 770  2.151E-02
 772  2.112E-02
 774  1.936E-02
 776  1.710E-02
 778  1.567E-02
 780  1.477E-02
 782  1.471E-02
 784  1.559E-02
 786  1.628E-02
 788  1.583E-02
 790  1.451E-02
 792  1.339E-02
 794  1.303E-02
 796  1.284E-02
 798  1.259E-02
 800  1.249E-02
